Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244458.2344,,,,,,,,,,244458.2344,,,,,,,,,,244458.2344,,,,,,,244458.2344
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951268.875,,,,,,,,,,951268.875,,,,,,,,,,951268.875,,,,,,,951268.875
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16349.95117,,,,,,,,,,16349.95117,,,,,,,,,,16349.95117,,,,,,,16349.95117
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26800.91797,,,,,,,,,,26800.91797,,,,,,,,,,26800.91797,,,,,,,26800.91797
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122239.8281,,,,,,,,,,122239.8281,,,,,,,,,,122239.8281,,,,,,,122239.8281
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40498.62109,,,,,,,,,,40498.62109,,,,,,,,,,40498.62109,,,,,,,40498.62109
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117893.375,,,,,,,,,,1117893.375,,,,,,,,,,1117893.375,,,,,,,1117893.375
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175027.394,,,,,,,,,,2175027.394,,,,,,,,,,2175027.394,,,,,,,2175027.394
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22064738.74,,,,,,,,,,22064738.74,,,,,,,,,,22064738.74,,,,,,,22064738.74
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18298350.99,,,,,,,,,,18298350.99,,,,,,,,,,18298350.99,,,,,,,18298350.99
Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18627211.06,,,,,,,,,,18627211.06,,,,,,,,,,18627211.06,,,,,,,18627211.06
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3433973.73,,,,,,,,,,3433973.73,,,,,,,,,,3433973.73,,,,,,,3433973.73
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379.931396,,,,,,,,,,1379.931396,,,,,,,,,,1379.931396,,,,,,,1379.931396
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17199.44379,,,,,,,,,,17199.44379,,,,,,,,,,17199.44379,,,,,,,17199.44379
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289666.2813,,,,,,,,,,289666.2813,,,,,,,,,,289666.2813,,,,,,,289666.2813
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11752514.99,,,,,,,,,,11752514.99,,,,,,,,,,11752514.99,,,,,,,11752514.99
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457993.5938,,,,,,,,,,457993.5938,,,,,,,,,,457993.5938,,,,,,,457993.5938
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3787.225342,,,,,,,,,,3787.225342,,,,,,,,,,3787.225342,,,,,,,3787.225342
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261381.75,,,,,,,,,,261381.75,,,,,,,,,,261381.75,,,,,,,261381.75
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10461.87305,,,,,,,,,,10461.87305,,,,,,,,,,10461.87305,,,,,,,10461.87305
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64912.71484,,,,,,,,,,64912.71484,,,,,,,,,,64912.71484,,,,,,,64912.71484
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291859.2188,,,,,,,,,,291859.2188,,,,,,,,,,291859.2188,,,,,,,291859.2188
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224697.4844,,,,,,,,,,224697.4844,,,,,,,,,,224697.4844,,,,,,,224697.4844
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.264643908,,,,,,,,,,2.264643908,,,,,,,,,,2.264643908,,,,,,,2.264643908
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112653.5781,,,,,,,,,,112653.5781,,,,,,,,,,112653.5781,,,,,,,112653.5781
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242639.5938,,,,,,,,,,242639.5938,,,,,,,,,,242639.5938,,,,,,,242639.5938
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.5099182,,,,,,,,,,153.5099182,,,,,,,,,,153.5099182,,,,,,,153.5099182
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.10237503,,,,,,,,,,33.10237503,,,,,,,,,,33.10237503,,,,,,,33.10237503
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103568.3359,,,,,,,,,,103568.3359,,,,,,,,,,103568.3359,,,,,,,103568.3359
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243431.1875,,,,,,,,,,243431.1875,,,,,,,,,,243431.1875,,,,,,,243431.1875
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33629.69922,,,,,,,,,,33629.69922,,,,,,,,,,33629.69922,,,,,,,33629.69922
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207343.4219,,,,,,,,,,207343.4219,,,,,,,,,,207343.4219,,,,,,,207343.4219
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26163.41602,,,,,,,,,,26163.41602,,,,,,,,,,26163.41602,,,,,,,26163.41602
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13878033.3,,,,,,,,,,13878033.3,,,,,,,,,,13878033.3,,,,,,,13878033.3
High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32909276.44,,,,,,,,,,32909276.44,,,,,,,,,,32909276.44,,,,,,,32909276.44
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108150.5781,,,,,,,,,,108150.5781,,,,,,,,,,108150.5781,,,,,,,108150.5781
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.1713409,,,,,,,,,,231.1713409,,,,,,,,,,231.1713409,,,,,,,231.1713409
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61057908.11,,,,,,,,,,61057908.11,,,,,,,,,,61057908.11,,,,,,,61057908.11
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88593.21875,,,,,,,,,,88593.21875,,,,,,,,,,88593.21875,,,,,,,88593.21875
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79871809.23,,,,,,,,,,79871809.23,,,,,,,,,,79871809.23,,,,,,,79871809.23
IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3319019.272,,,,,,,,,,3319019.272,,,,,,,,,,3319019.272,,,,,,,3319019.272
IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15494881.84,,,,,,,,,,15494881.84,,,,,,,,,,15494881.84,,,,,,,15494881.84
IDA total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18813901.12,,,,,,,,,,18813901.12,,,,,,,,,,18813901.12,,,,,,,18813901.12
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2980489.25,,,,,,,,,,2980489.25,,,,,,,,,,2980489.25,,,,,,,2980489.25
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838682.625,,,,,,,,,,1838682.625,,,,,,,,,,1838682.625,,,,,,,1838682.625
"Iran, Islamic Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545056.125,,,,,,,,,,1545056.125,,,,,,,,,,1545056.125,,,,,,,1545056.125
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415377.6563,,,,,,,,,,415377.6563,,,,,,,,,,415377.6563,,,,,,,415377.6563
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63249.21484,,,,,,,,,,63249.21484,,,,,,,,,,63249.21484,,,,,,,63249.21484
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4710388,,,,,,,,,,333.4710388,,,,,,,,,,333.4710388,,,,,,,333.4710388
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15621.7832,,,,,,,,,,15621.7832,,,,,,,,,,15621.7832,,,,,,,15621.7832
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223236.4375,,,,,,,,,,223236.4375,,,,,,,,,,223236.4375,,,,,,,223236.4375
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8015.424316,,,,,,,,,,8015.424316,,,,,,,,,,8015.424316,,,,,,,8015.424316
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260649.5938,,,,,,,,,,260649.5938,,,,,,,,,,260649.5938,,,,,,,260649.5938
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86229.24219,,,,,,,,,,86229.24219,,,,,,,,,,86229.24219,,,,,,,86229.24219
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576333.75,,,,,,,,,,576333.75,,,,,,,,,,576333.75,,,,,,,576333.75
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985.0445251,,,,,,,,,,985.0445251,,,,,,,,,,985.0445251,,,,,,,985.0445251
"Korea, Dem. People’s Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119243.4453,,,,,,,,,,119243.4453,,,,,,,,,,119243.4453,,,,,,,119243.4453
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77155.28906,,,,,,,,,,77155.28906,,,,,,,,,,77155.28906,,,,,,,77155.28906
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13422.94238,,,,,,,,,,13422.94238,,,,,,,,,,13422.94238,,,,,,,13422.94238
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227855.5313,,,,,,,,,,227855.5313,,,,,,,,,,227855.5313,,,,,,,227855.5313
Late-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39108425.06,,,,,,,,,,39108425.06,,,,,,,,,,39108425.06,,,,,,,39108425.06
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18127126.26,,,,,,,,,,18127126.26,,,,,,,,,,18127126.26,,,,,,,18127126.26
Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17231962.28,,,,,,,,,,17231962.28,,,,,,,,,,17231962.28,,,,,,,17231962.28
Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18012755.59,,,,,,,,,,18012755.59,,,,,,,,,,18012755.59,,,,,,,18012755.59
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60137.24219,,,,,,,,,,60137.24219,,,,,,,,,,60137.24219,,,,,,,60137.24219
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15059561.38,,,,,,,,,,15059561.38,,,,,,,,,,15059561.38,,,,,,,15059561.38
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8081.997559,,,,,,,,,,8081.997559,,,,,,,,,,8081.997559,,,,,,,8081.997559
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95634.38281,,,,,,,,,,95634.38281,,,,,,,,,,95634.38281,,,,,,,95634.38281
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606874.75,,,,,,,,,,1606874.75,,,,,,,,,,1606874.75,,,,,,,1606874.75
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59360.13672,,,,,,,,,,59360.13672,,,,,,,,,,59360.13672,,,,,,,59360.13672
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78884793.98,,,,,,,,,,78884793.98,,,,,,,,,,78884793.98,,,,,,,78884793.98
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8697479.628,,,,,,,,,,8697479.628,,,,,,,,,,8697479.628,,,,,,,8697479.628
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17577983.58,,,,,,,,,,17577983.58,,,,,,,,,,17577983.58,,,,,,,17577983.58
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782.765503,,,,,,,,,,1782.765503,,,,,,,,,,1782.765503,,,,,,,1782.765503
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18112087,,,,,,,,,,11.18112087,,,,,,,,,,11.18112087,,,,,,,11.18112087
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21962.62305,,,,,,,,,,21962.62305,,,,,,,,,,21962.62305,,,,,,,21962.62305
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587832.9375,,,,,,,,,,587832.9375,,,,,,,,,,587832.9375,,,,,,,587832.9375
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92909.46094,,,,,,,,,,92909.46094,,,,,,,,,,92909.46094,,,,,,,92909.46094
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312833.0313,,,,,,,,,,312833.0313,,,,,,,,,,312833.0313,,,,,,,312833.0313
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.7807007,,,,,,,,,,291.7807007,,,,,,,,,,291.7807007,,,,,,,291.7807007
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243208.25,,,,,,,,,,1243208.25,,,,,,,,,,1243208.25,,,,,,,1243208.25
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.62650871,,,,,,,,,,30.62650871,,,,,,,,,,30.62650871,,,,,,,30.62650871
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.8295898,,,,,,,,,,284.8295898,,,,,,,,,,284.8295898,,,,,,,284.8295898
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041101.875,,,,,,,,,,1041101.875,,,,,,,,,,1041101.875,,,,,,,1041101.875
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.6514893,,,,,,,,,,727.6514893,,,,,,,,,,727.6514893,,,,,,,727.6514893
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831423.5,,,,,,,,,,1831423.5,,,,,,,,,,1831423.5,,,,,,,1831423.5
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.3094482,,,,,,,,,,517.3094482,,,,,,,,,,517.3094482,,,,,,,517.3094482
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10642151.44,,,,,,,,,,10642151.44,,,,,,,,,,10642151.44,,,,,,,10642151.44
