Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Canada,,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510
Caribbean small states,,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404940,404940,404940,404940,404940,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404845.5357
Cayman Islands,,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Central African Republic,,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980
Central Europe and the Baltics,,1105986,1105966,1105976,1105976,1105966,1105956,1105946,1105936,1105936,1105926,1105916,1105916,1105916,1105916,1105916,1105896,1105906,1105916,1105866,1105856,1105846,1105836,1105826,1105826,1105826,1105826,1105826,1105816,1104826,1104826,1104936,1104936,1104926,1104976,1104956,1105056,1105006,1104996,1105006,1104936,1104936,1103266,1103276,1103436,1103286,1103256,1103146,1103131,1104115,1104156,1104182,1103992,1104003,1103976,1103976,1103976,1105084.089
Chad,,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1259600,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259392.857
Channel Islands,,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
Chile,,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532
China,,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388240,9388230,9388230,9388230,9388230,9388220,9388214.2,9388213.2,9388212.7,9388212.5,9388211.8,9388211.4,9388210.8,9388210.8,9388211,9388211,9388211,9388211,9388211,9388211,9388211,9388211,9388236.882
Colombia,,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500
Comoros,,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
"Congo, Dem. Rep.",,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050
